Unnamed: 0,Eepi,Kepi,Kstroma,eyelid-pressure,thickness_central 1d,thickness_central 4d,thickness_midperi 1d,thickness_midperi 4d,power_eye 1d,power_eye 4d,R_n 1d,R_n 4d,error
385,0.0014121971918772572,1.6964984161339032e-06,0.002141194408071053,0.00015187317069805775,-0.0037000390691656893,-0.004740053504981058,0.0004608936396042415,0.0006223967452669288,-1.3508884950399889,-1.6249994448971776,7.83844557386659,7.8886666668289696,261.76769293595055
386,0.0008730375496173282,1.3044558040450422e-06,0.0009278169843898225,0.00016347634640363474,-0.004340036188250976,,0.0005908862910267154,,-1.5741416337642988,,7.879300214198345,,
387,0.0012145737954906714,1.3760601496121588e-06,0.0017490088239238155,0.00022780461452627315,-0.004510034810813343,-0.006080053388732534,0.0006854191797716486,0.0011463151526536416,-1.5782236855266447,-1.8711389050256884,7.88005118217302,7.934314533398395,215.4841485929612
388,0.0013556556890221589,4.75075520202703e-06,0.0020766548901137998,0.00017079856183357156,-0.003760049636047716,,0.0006801803966322781,,-1.2391766297547946,,7.8181612704545485,,
389,0.0007659802426374492,3.294380346613476e-06,0.0012671780497563506,0.0001848821390571673,-0.0054700655812524035,-0.00678008997291827,0.0010924766728838062,0.0015665065378408644,-1.8143748426513255,-1.8833776424972086,7.923740532325216,7.936598062976764,184.03088081456892
390,0.0011399229087906391,5.078539851640208e-06,0.005598279111519077,0.0001975022871982468,-0.004220049833154729,-0.004780055399307176,0.0008731941075029864,0.000657857768126241,-1.261579703821674,-1.231090557432168,7.822220732910953,7.816697099618741,251.09515957902929
391,0.000964787998757852,1.2441591919671992e-06,0.0009249444998355404,0.00021323704037038744,-0.004680034457993663,-0.006590065641702211,0.0007037942936303082,0.001374788166178531,-1.6516558202581209,-2.0666442666501084,7.893584855731846,7.9709502258937315,200.7358250373935
392,0.0011803110056305285,1.9118639092448837e-06,0.002452443077432326,0.00022090099964805802,-0.00469004187360432,-0.005980058022194076,0.0007839003144142903,0.0011056172797951555,-1.5977619990230494,-1.757054874017868,7.883647594996776,7.913091537833354,215.46579470061184
393,0.0012717096078120394,7.890151485787638e-07,0.004038485344669208,0.00021641474213933285,-0.003950027096136677,-0.0058000502119885874,0.00047008175926308016,0.0009808622644083692,-1.415238982673074,-1.9471477736592888,7.8501779915578345,7.948517728447924,231.34525919797193
394,0.0010234982568219425,2.228848628068214e-06,0.0019266030993590922,0.00021499897460687984,-0.004980052126578885,-0.006320074006501954,0.0008823814496633428,0.001267119462229703,-1.6701929903898431,-1.8001669854964177,7.897008641275767,7.921098303331622,203.00609769677683
